df -h
Filesystem             Size  Used Avail Use% Mounted on
devtmpfs                16G     0   16G   0% /dev
tmpfs                   16G   43M   16G   1% /dev/shm
tmpfs                   16G  1.2G   15G   8% /run
tmpfs                   16G     0   16G   0% /sys/fs/cgroup
/dev/mapper/rhel-root   99G   28G   71G  28% /
/dev/mapper/rhel-home  250G  3.0G  247G   2% /home
/dev/mapper/rhel-var   150G  150G  393M 100% /var
/dev/sda2             1014M  328M  687M  33% /boot
/dev/sda1              500M  5.9M  494M   2% /boot/efi
tmpfs                  3.2G  4.0K  3.2G   1% /run/user/0
tmpfs                  3.2G  4.0K  3.2G   1% /run/user/10000
overlay                150G  150G  393M 100% /var/lib/containers/storage/overlay/d91756720015fe5142428e986824c737d8351633399565a87a7c9fd17ebbefb7/merged
overlay                150G  150G  393M 100% /var/lib/containers/storage/overlay/1fb124e93c7f01d543f739d52ebad5005d7b7b2a009b52c2911a2fc4ccec22d1/merged
overlay                150G  150G  393M 100% /var/lib/containers/storage/overlay/fca10605bb5fed110bb826718ec1d6a52b028e9bdf509973716f80255b9b16c8/merged
overlay                150G  150G  393M 100% /var/lib/containers/storage/overlay/e3f694259aa7279e8b75ec959b0fa7aeff1edf69193f5fb6fbe9e295742156a9/merged
overlay                150G  150G  393M 100% /var/lib/containers/storage/overlay/10cce69c709c531a37dfd9496f22fac5ab9bb3c1dec3e4263a4665df7e347ca5/merged
overlay                150G  150G  393M 100% /var/lib/containers/storage/overlay/12262edd8aa260b9f52f2c4f67a5cad7e816a44ed30ab49a2a99fc697e72cd62/merged
overlay                150G  150G  393M 100% /var/lib/containers/storage/overlay/43b512495b9a49778cc472d048b040793d70f600306726e00df3b1bae03c9729/merged
overlay                150G  150G  393M 100% /var/lib/containers/storage/overlay/6b68e23977e68b320673b717ccec77dbe8bb75cbff667c29cf9a7fc1df4408c7/merged
overlay                150G  150G  393M 100% /var/lib/containers/storage/overlay/ecb38a3fe90a1a71707ad66aa6d9bd252b3eb27f4a3fc48941f2ad8579d824f5/merged
overlay                150G  150G  393M 100% /var/lib/containers/storage/overlay/c432de9a715c6a01af479069234426a0f3a525aa06c14c62f475f28e99e9d9c4/merged
overlay                150G  150G  393M 100% /var/lib/containers/storage/overlay/6c2760aa5259c1e220d86efaf0a99732ecd4daa853f1352622510e271166781d/merged
overlay                150G  150G  393M 100% /var/lib/containers/storage/overlay/ea6fa83ece82a6ba67b8e5d1d922eacf0d86d4da57e84f67d89bd8f921114763/merged
overlay                150G  150G  393M 100% /var/lib/containers/storage/overlay/e42b47ba899db6d1671b329aa1b268e28441e4f24e429ab36cfe548692ce0450/merged
shm                     63M     0   63M   0% /var/lib/containers/storage/overlay-containers/eca3a8688c39082d53f14bf600aca36d43e64e6fec12284607916e6cfeac0eb4/userdata/shm
overlay                150G  150G  393M 100% /var/lib/containers/storage/overlay/32fc8ab0e16c920f512e77826649873328a569c7ec305ae6adee1845ea3d1f22/merged
overlay                150G  150G  393M 100% /var/lib/docker/overlay2/5c614f0573caa3a305fbe64de7bfcadad4afb49fedc4185f511c9a9f4a44526f/merged
